"Ticker","Nome","Negócios","Última (R$)","Variação"
"RAIZ4","Raízen","105.867.000","1,05","-12,50%"
"BBAS3","Banco do Brasil","70.251.100","19,85","+2,96%"
"PETR4","Petrobras","43.087.500","30,18","-1,28%"
"VALE3","Vale","42.823.200","53,42","-1,24%"
"COGN3","Cogna","37.953.700","2,87","+0,00%"
"CPLE6","Copel","31.931.900","12,12","+0,08%"
"CSAN3","Cosan","30.253.400","5,40","-6,57%"
"BBDC4","Banco Bradesco","29.789.000","16,01","-0,74%"
"ITSA4","Itaúsa","29.436.800","11,02","+0,00%"
"USIM5","Usiminas","26.539.500","4,00","-7,19%"
"ITUB4","Itaú Unibanco","26.037.600","37,62","-0,13%"
"B3SA3","B3","25.411.600","12,85","+1,18%"
"ABEV3","Ambev","21.777.500","12,02","-0,83%"
"MGLU3","Magazine Luiza","18.772.000","6,68","-0,74%"
"AZUL4","Azul","17.408.500","0,61","+3,39%"
"CSNA3","Siderúrgica Nacional","17.233.300","6,97","-6,06%"
"MRVE3","MRV","17.138.500","7,17","+3,61%"
"VAMO3","Grupo Vamos","15.697.200","3,85","-3,75%"
"PCAR3","Grupo Pão de Açúcar","15.156.100","2,67","-1,48%"
"HAPV3","Hapvida","13.913.300","37,77","+8,29%"
"CMIG4","Cemig","13.690.900","10,82","-0,64%"
"CVCB3","CVC","13.424.600","2,02","-2,42%"
"ASAI3","Assaí","12.760.700","10,05","+1,21%"
"LREN3","Lojas Renner","11.770.700","16,02","-0,44%"
"ENEV3","Eneva","11.641.400","14,15","+2,02%"
"GGBR4","Gerdau","11.099.800","16,30","-1,03%"
"BHIA3","Casas Bahia","10.205.600","2,87","-3,37%"
"VBBR3","Vibra Energia","9.819.500","21,28","+0,38%"
"EQTL3","Equatorial Energia","9.805.200","35,50","-0,50%"
"BEEF3","Minerva","9.259.500","4,79","-1,44%"
"CPLE3","Copel","9.253.900","11,34","+0,18%"
"AZTE3","AZT Energia","8.931.700","0,60","+9,09%"
"BBSE3","BB Seguridade","8.837.100","33,38","+0,94%"
"UGPA3","Ultrapar","8.745.600","17,64","+4,01%"
"SIMH3","Simpar","8.663.300","4,45","-3,05%"
"TAEE11","Taesa","8.378.800","33,33","+0,45%"
"CBAV3","CBA","8.366.300","3,04","-3,18%"
"BPAC11","Banco BTG Pactual","7.705.600","44,51","+0,47%"
"PETR3","Petrobras","7.398.900","32,63","-0,94%"
"CYRE3","Cyrela","7.225.800","25,19","+1,94%"
"VIVT3","Vivo","7.072.100","33,17","+0,24%"
"GMAT3","Grupo Mateus","7.035.200","7,04","-0,98%"
"ELET3","Eletrobras","6.957.500","44,28","-1,51%"
"TOTS3","Totvs","6.837.500","41,30","-2,46%"
"RAIL3","Rumo","6.785.600","16,04","+0,75%"
"POMO4","Marcopolo","6.576.000","8,97","+0,34%"
"ANIM3","Ânima Educação","6.533.600","3,35","-1,18%"
"GOAU4","Metalúrgica Gerdau","6.445.900","9,07","-0,98%"
"RADL3","RaiaDrogasil","6.424.800","17,58","+0,34%"
"RAPT4","Randon","6.233.500","6,72","+7,01%"
"PETZ3","Petz","6.153.600","3,98","+0,00%"
"BBDC3","Banco Bradesco","6.048.300","13,80","-0,14%"
"LIGT3","Light","5.847.600","7,00","+6,22%"
"MOTV3","Motiva","5.830.500","13,16","+0,53%"
"WEGE3","WEG","5.821.900","36,49","-0,35%"
"BRAV3","3R Petroleum","5.740.700","19,94","+0,00%"
"RENT3","Localiza","5.738.300","34,40","-1,15%"
"FLRY3","Fleury","5.629.600","13,94","-0,21%"
"JHSF3","JHSF","5.549.200","5,27","-2,04%"
"SRNA3","Serena Energia","5.474.800","12,00","+0,17%"
"LWSA3","Locaweb","5.419.800","4,03","+1,00%"
"CMIN3","CSN Mineração","5.346.200","4,82","-1,63%"
"EMBR3","Embraer","5.268.700","80,69","+1,87%"
"SLCE3","SLC Agrícola","4.927.800","17,11","-1,21%"
"CXSE3","Caixa Seguridade","4.695.200","13,77","-0,29%"
"BPAN4","Banco Pan","4.635.300","8,37","+2,70%"
"AURE3","Auren Energia","4.413.700","9,82","+1,87%"
"ODPV3","Odontoprev","4.374.700","12,25","+0,66%"
"MOVI3","Movida","4.341.100","7,48","+1,08%"
"ALOS3","Allos","4.340.300","22,86","+0,57%"
"LJQQ3","Lojas Quero-Quero","4.314.000","2,15","-4,02%"
"PRIO3","PetroRio","4.225.100","38,80","-0,18%"
"BRFS3","BRF","4.147.100","18,87","+0,00%"
"SMFT3","Smart Fit","3.845.700","23,36","+1,92%"
"PDGR3","PDG Realty","3.739.300","0,18","+5,88%"
"RDOR3","Rede D'Or","3.667.400","37,07","+0,65%"
"TIMS3","TIM","3.645.700","22,24","+0,72%"
"CEAB3","C&A","3.494.800","15,10","-3,70%"
"BRKM5","Braskem","3.393.100","7,73","-2,64%"
"MRFG3","Marfrig","3.308.100","21,48","+0,14%"
"GRND3","Grendene","3.297.600","5,30","+2,12%"
"CPFE3","CPFL Energia","3.267.400","39,81","+1,63%"
"AZEV4","Azevedo & Travassos","3.130.500","0,62","+6,90%"
"DIRR3","Direcional","3.129.800","14,15","+1,22%"
"AZZA3","Arezzo","3.073.700","32,09","-2,82%"
"AZEV3","Azevedo & Travassos","3.065.900","0,60","+7,14%"
"VIVA3","Vivara","2.775.800","26,80","-1,03%"
"MLAS3","Multilaser","2.740.100","1,01","-3,81%"
"IFCM3","Infracommerce","2.716.400","0,69","-15,85%"
"CASH3","Méliuz","2.704.400","5,60","-3,95%"
"KLBN11","Klabin","2.703.000","18,34","+1,33%"
"SBSP3","Sabesp","2.663.200","117,74","-1,72%"
"HBSA3","Hidrovias do Brasil","2.575.500","3,73","+3,61%"
"PSSA3","Porto Seguro","2.517.000","53,33","-3,05%"
"YDUQ3","YDUQS","2.487.500","13,04","+0,31%"
"HYPE3","Hypera","2.472.300","23,00","+0,31%"
"CSMG3","COPASA","2.440.200","27,05","+3,20%"
"ENGI11","Energisa","2.439.100","46,84","+0,11%"
"BRAP4","Bradespar","2.363.200","15,81","-2,11%"
"NEOE3","Neoenergia","2.239.500","26,85","+0,67%"
"SMTO3","São Martinho","2.232.800","16,91","+1,38%"
"ISAE4","ISA Energia","2.188.900","22,02","+1,06%"
"CURY3","Cury","2.062.400","32,20","+1,39%"
"JALL3","Jalles Machado","2.054.400","2,85","-6,25%"
"MULT3","Multiplan","1.942.100","26,51","-0,04%"
"SANB11","Banco Santander","1.900.200","26,86","-0,52%"
"AMER3","Americanas","1.886.400","5,14","-2,47%"
"SUZB3","Suzano","1.838.100","53,91","+0,09%"
"ELET6","Eletrobras","1.786.700","47,91","-1,22%"
"HBOR3","Helbor","1.770.900","2,81","+1,44%"
"ECOR3","EcoRodovias","1.745.500","7,21","+1,69%"
"ONCO3","Oncoclínicas","1.729.300","5,39","-0,55%"
"KLBN4","Klabin","1.706.900","3,61","+0,00%"
"TUPY3","Tupy","1.685.100","15,95","-2,45%"
"ARML3","Armac","1.651.400","3,90","+1,83%"
"VVEO3","Viveo","1.633.600","0,98","-3,92%"
"SBFG3","Grupo SBF","1.605.900","10,22","-1,54%"
"GGPS3","GPS","1.580.700","16,14","-0,12%"
"OIBR3","Oi","1.550.600","0,56","+0,00%"
"KEPL3","Kepler Weber","1.528.600","7,20","+2,13%"
"RCSL4","Recrusul","1.516.500","1,08","+1,89%"
"INTB3","Intelbras","1.510.300","12,59","-0,47%"
"RECV3","PetroRecôncavo","1.447.300","12,66","-0,63%"
"MDNE3","Moura Dubeux","1.433.900","23,55","+1,46%"
"IGTI11","Iguatemi","1.401.400","21,95","+0,78%"
"IGTI11","Jereissati Participações","1.401.400","21,95","+0,78%"
"POSI3","Positivo","1.348.700","4,14","-0,24%"
"TEND3","Construtora Tenda","1.344.500","21,35","+0,90%"
"STBP3","Santos Brasil","1.322.500","14,13","+0,14%"
"MTRE3","Mitre Realty","1.233.400","3,24","-2,70%"
"SAPR4","Sanepar","1.197.200","6,54","+1,08%"
"DXCO3","Dexco","1.156.300","5,72","+1,06%"
"ALPA4","Alpargatas","1.147.900","9,48","-0,84%"
"VTRU3","VITRUBREPCOM","1.143.000","9,90","+10,24%"
"SHUL4","Schulz","1.132.600","4,68","-2,50%"
"VULC3","Vulcabras","1.099.200","19,48","+1,67%"
"EZTC3","EZTEC","1.019.300","14,44","+1,76%"
"DASA3","Dasa","985.100","1,44","+2,86%"
"ENJU3","Enjoei","977.200","0,98","-2,00%"
"SAPR11","Sanepar","969.300","34,26","+0,44%"
"ALUP11","Alupar","966.300","29,33","-0,17%"
"SEER3","Ser Educacional","942.600","8,93","+0,90%"
"MELK3","Melnick","930.200","3,53","+3,52%"
"CAML3","Camil Alimentos","908.900","4,49","-1,32%"
"TTEN3","3tentos","904.600","13,25","+0,23%"
"PGMN3","Pague Menos","900.300","3,58","-2,72%"
"PLPL3","Plano&Plano","884.700","13,00","-0,31%"
"VITT3","Vittia","866.200","4,32","-8,28%"
"FESA4","Ferbasa","797.300","6,19","-1,28%"
"FIQE3","Unifique","729.100","4,10","+0,49%"
"MYPK3","Iochpe-Maxion","724.100","14,10","+0,14%"
"TFCO4","Track & Field","696.800","15,31","-0,84%"
"GUAR3","Guararapes","686.200","8,14","-1,45%"
"QUAL3","Qualicorp","656.400","1,75","+1,16%"
"BRSR6","Banrisul","644.400","10,95","-0,64%"
"IRBR3","IRB Brasil RE","629.900","46,41","-0,73%"
"EGIE3","Engie","623.500","39,34","+0,33%"
"TOKY3","TOKY3","608.200","1,06","-4,50%"
"ITUB3","Itaú Unibanco","543.800","33,86","+0,36%"
"MILS3","Mills","536.800","12,12","-1,06%"
"JSLG3","JSL","521.200","5,33","-1,11%"
"MDIA3","M. Dias Branco","518.400","28,82","-1,06%"
"OPCT3","OceanPact","505.600","6,54","-0,91%"
"SOJA3","Boa Safra Sementes","505.000","10,09","-1,08%"
"ORVR3","Orizon","500.000","48,79","+1,54%"
"TRIS3","Trisul","459.900","6,51","+0,46%"
"PRNR3","Priner","448.700","15,00","-0,60%"
"EVEN3","Even","440.900","7,15","+1,71%"
"USIM3","Usiminas","440.000","4,19","-6,05%"
"RANI3","Irani","422.600","7,34","-2,65%"
"ESPA3","Espaçolaser","408.100","1,01","-1,94%"
"MEAL3","IMC Alimentação","407.500","1,30","-0,76%"
"LAVV3","Lavvi Incorporadora","366.500","12,35","-0,40%"
"AMAR3","Lojas Marisa","341.400","1,20","-3,23%"
"SYNE3","SYN","330.700","6,97","-0,43%"
"AMBP3","Ambipar","322.200","14,37","-2,91%"
"WIZC3","Wiz Soluções","307.400","8,10","-1,22%"
"VLID3","Valid","300.900","20,29","-2,22%"
"ZAMP3","Zamp","295.400","3,48","+0,00%"
"KLBN3","Klabin","284.400","3,75","+1,63%"
"PINE4","Banco Pine","266.300","6,16","-0,65%"
"MATD3","Mater Dei","250.900","4,69","+0,43%"
"BMGB4","Banco BMG","249.100","3,59","-0,55%"
"GFSA3","Gafisa","242.300","14,41","-1,64%"
"SAPR3","Sanepar","240.500","7,99","+2,04%"
"TRAD3","Traders Club","229.000","8,39","-0,71%"
"ABCB4","Banco ABC Brasil","227.400","21,47","-1,24%"
"BLAU3","Blau Farmacêutica","225.900","12,10","+0,83%"
"ROMI3","Indústrias ROMI","220.500","7,60","-2,81%"
"FRAS3","Fras-le","216.900","22,07","+0,36%"
"CSED3","Cruzeiro do Sul Educacional","201.000","5,15","+3,00%"
"TASA4","Taurus","199.100","4,76","-1,65%"
"BRST3","Brisanet","197.700","2,68","-0,74%"
"PORT3","Wilson Sons","187.300","17,79","+0,00%"
"BRBI11","BR Partners","185.900","15,51","+0,45%"
"ALLD3","Allied","182.500","8,99","-1,21%"
"BMOB3","Bemobi","180.000","19,67","-2,86%"
"LOGG3","LOG CP","174.400","20,74","+0,29%"
"HBRE3","HBR Realty","169.100","3,63","-0,27%"
"EALT4","Electro Aço Altona","165.700","11,75","-13,60%"
"TAEE4","Taesa","163.800","11,20","+0,18%"
"TGMA3","Tegma","158.800","35,53","+0,11%"
"PNVL3","Dimed","154.200","10,13","-0,69%"
"LEVE3","Mahle Metal Leve","144.300","27,55","+0,88%"
"POMO3","Marcopolo","143.300","7,08","+0,28%"
"AMOB3","Automob","143.200","11,10","-2,29%"
"ALPK3","Estapar","129.100","3,05","-0,97%"
"ITSA3","Itaúsa","127.200","10,98","-0,18%"
"CGRA4","Grazziotin","122.000","25,08","-5,71%"
"ETER3","Eternit","121.600","4,19","+3,20%"
"TAEE3","Taesa","120.100","11,15","+1,09%"
"UNIP6","Unipar","119.400","57,84","+0,45%"
"LPSB3","Lopes","117.900","1,53","+0,00%"
"AGRO3","BrasilAgro","117.300","20,20","-0,30%"
"LUPA3","Lupatech","113.900","1,17","+0,86%"
"AALR3","Alliança","113.600","5,54","+2,97%"
"PFRM3","Profarma","112.700","7,75","+1,31%"
"CMIG3","Cemig","108.300","14,81","-1,20%"
"PMAM3","Paranapanema","107.600","1,45","+0,00%"
"AERI3","Aeris Energy","102.300","4,50","+2,97%"
"SCAR3","São Carlos","94.900","19,79","+4,88%"
"INEP3","Inepar","86.700","1,71","+3,01%"
"SEQL3","Sequoia Logística","82.700","0,97","+0,00%"
"DESK3","Desktop","81.300","7,80","+1,04%"
"DOTZ3","Dotz","79.300","7,43","+12,75%"
"DEXP3","Dexxos","78.600","8,36","+1,70%"
"IGTI3","Jereissati Participações","72.900","2,63","-3,31%"
"IGTI3","Iguatemi","72.900","2,63","-3,31%"
"RCSL3","Recrusul","69.500","1,77","-1,12%"
"PTBL3","Portobello","67.700","3,70","+1,65%"
"DMVF3","D1000 Varejo Farma","54.500","4,60","-0,43%"
"VIVR3","Viver","53.500","0,77","-1,28%"
"LVTC3","WDC Networks","52.100","3,17","+0,63%"
"RAPT3","Randon","49.500","6,27","-0,16%"
"SANB4","Banco Santander","44.200","14,06","-0,99%"
"AMAR11","Lojas Marisa","43.000","0,19","-13,64%"
"EUCA4","Eucatex","42.700","17,35","+0,12%"
"TECN3","Technos","42.200","6,53","+1,08%"
"CAMB3","Cambuci","39.400","9,40","-5,91%"
"GOAU3","Metalúrgica Gerdau","38.700","9,13","+0,22%"
"TCSA3","Tecnisa","36.900","1,62","-2,99%"
"MTSA4","Metisa","36.200","39,90","-0,10%"
"BRAP3","Bradespar","33.000","14,88","-0,53%"
"RNEW3","Renova Energia","29.600","1,04","+5,05%"
"INEP4","Inepar","29.500","1,38","+0,00%"
"PDTC3","Padtec","28.600","1,02","+5,15%"
"SHOW3","Time For Fun","27.800","6,29","-1,87%"
"SANB3","Banco Santander","27.000","12,78","-0,39%"
"UCAS3","Unicasa","26.400","1,35","-2,17%"
"FHER3","Fertilizantes Heringer","22.400","4,10","-1,91%"
"VSTE3","LE LIS BLANC","19.200","5,92","-0,34%"
"AGXY3","AgroGalaxy","16.700","5,92","-1,33%"
"BEES3","Banestes","16.600","8,46","-0,24%"
"DOHL4","Döhler","16.600","3,93","-1,75%"
"CEBR3","CEB","16.300","21,99","+3,24%"
"CSUD3","CSU Cardsystem","16.200","17,44","+1,34%"
"ENGI4","Energisa","15.800","8,79","+1,74%"
"LAND3","Terra Santa","13.600","10,05","-1,47%"
"TPIS3","Triunfo","13.500","3,66","-1,88%"
"EMAE4","EMAE","13.300","29,00","+0,00%"
"MGEL4","Mangels","12.200","4,50","-11,24%"
"EALT3","Electro Aço Altona","11.900","14,44","-3,67%"
"GGBR3","Gerdau","11.400","14,71","-0,34%"
"RNEW4","Renova Energia","11.300","1,01","-1,94%"
"WHRL4","Whirlpool","11.100","4,43","-1,56%"
"CEBR6","CEB","11.000","23,48","+2,04%"
"LUXM4","Trevisa","11.000","3,54","-0,28%"
"UNIP3","Unipar","10.800","52,51","+2,80%"
"NGRD3","Neogrid","10.800","25,60","+0,00%"
"PTNT4","Pettenati","10.300","4,55","+0,44%"
"TASA3","Taurus","10.200","5,48","-1,08%"
"BRKM3","Braskem","10.000","8,75","-1,24%"
"JFEN3","João Fortes","9.500","1,54","-0,65%"
"BMEB4","Banco Mercantil do Brasil","9.300","41,70","-0,71%"
"MNPR3","Minupar","9.300","29,00","+0,69%"
"REAG3","REAG3","9.100","4,00","+1,27%"
"LOGN3","Log-In","8.300","25,00","-0,20%"
"ALPA3","Alpargatas","8.000","8,93","-0,11%"
"FIEI3","Fica","7.800","22,46","+34,89%"
"COCE5","Coelce","7.100","29,10","+0,34%"
"ENGI3","Energisa","7.100","11,87","+0,59%"
"BAZA3","Banco da Amazônia","6.700","72,59","-1,49%"
"EPAR3","Embpar Participações","6.700","4,45","+0,45%"
"ALUP4","Alupar","5.700","9,48","+0,32%"
"AZEV11","Azevedo & Travassos","5.500","0,12","+0,00%"
"BDLL3","Bardella","5.000","8,00","-3,61%"
"WEST3","Westwing","5.000","4,51","-1,96%"
"CEBR5","CEB","4.900","21,60","+0,05%"
"OIBR4","Oi","4.300","7,55","-0,53%"
"NUTR3","Nutriplant","4.300","2,89","+1,40%"
"HOOT4","Hotéis Othon","4.200","3,70","-1,33%"
"CGAS5","Comgás","3.900","126,88","-0,14%"
"FICT3","Fictor Alimentos","3.900","3,28","+0,31%"
"RDNI3","RNI","3.700","2,11","-4,95%"
"EQPA3","Equatorial Energia Pará","3.600","5,71","+0,53%"
"RSUL4","Metalúrgica Riosulense","3.400","65,50","-0,77%"
"EUCA3","Eucatex","3.400","18,69","-0,59%"
"BRSR3","Banrisul","3.400","11,83","-1,42%"
"CLSC4","Celesc","3.300","101,87","-0,18%"
"BPAC3","Banco BTG Pactual","3.300","24,55","+2,94%"
"CEDO4","Cedro Têxtil","3.300","14,00","-9,79%"
"BPAC5","Banco BTG Pactual","3.300","9,96","-2,45%"
"RNEW11","Renova Energia","3.300","3,08","+2,67%"
"RSID3","Rossi Residencial","3.300","1,92","-3,52%"
"BOBR4","Bombril","3.200","1,34","+2,29%"
"BEES4","Banestes","3.000","8,52","+0,83%"
"ALUP3","Alupar","2.800","10,27","-1,06%"
"BIOM3","Biomm","2.500","7,14","-1,52%"
"CRPG5","Tronox Pigmentos","2.300","15,25","-1,49%"
"REDE3","Rede Energia","2.300","6,44","-1,08%"
"BIED3","BIED3","2.300","3,49","+1,45%"
"BNBR3","Banco do Nordeste","1.800","98,00","+2,08%"
"TELB4","Telebras","1.800","7,40","+0,41%"
"AVLL3","Alphaville","1.500","1,64","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","1.300","36,00","-2,68%"
"CCTY3","RDVC CITY","1.300","36,00","-2,68%"
"BSLI3","Banco de Brasília","1.300","8,32","+1,09%"
"PINE3","Banco Pine","1.300","6,06","+0,00%"
"HAGA4","Haga","1.300","1,16","-1,69%"
"MOAR3","Monteiro Aranha","1.200","127,00","-1,95%"
"BMEB3","Banco Mercantil do Brasil","1.200","34,90","+2,65%"
"ISAE3","ISA Energia","1.200","30,53","+1,77%"
"OSXB3","OSX Brasil","1.200","2,53","+0,80%"
"CGRA3","Grazziotin","1.100","26,95","-1,25%"
"LUPA11","LUPA11","1.100","0,06","-45,45%"
"EQMA3B","Equatorial Maranhão","900","27,10","+2,30%"
"OFSA3","Ourofino Saúde Animal","800","22,90","-0,69%"
"BSLI4","Banco de Brasília","800","9,89","+3,56%"
"FRIO3","Metalfrio","500","229,99","-8,00%"
"PATI3","Panatlântica","500","41,00","+1,23%"
"GEPA4","Rio Paranapanema Energia","500","35,25","+1,15%"
"BGIP4","Banese","400","28,45","+1,57%"
"TELB3","Telebras","400","10,88","+2,54%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","400","2,00","-1,48%"
"ENMT3","Energisa MT","300","56,00","-8,17%"
"ENMT4","Energisa MT","300","55,00","+1,66%"
"WLMM4","WLM","300","20,39","+0,00%"
"CEED3","CEEE D","300","7,99","-0,12%"
"CLSC3","Celesc","200","100,80","+0,50%"
"CTKA3","Karsten","200","33,00","-3,45%"
"WLMM3","WLM","200","23,89","-0,42%"
"NEXP3","Brasil Brokers","200","3,89","+0,00%"
"TKNO4","Tekno","100","175,00","-2,23%"
"CTKA4","Karsten","100","35,50","+7,19%"
"PSVM11","PORTO VM","100","5,70","-0,52%"
"RPAD3","Alfa Holdings","100","4,53","+0,22%"
"WHRL3","Whirlpool","100","4,29","-0,46%"
"ESTR4","Estrela","100","4,20","+0,00%"
"HAGA3","Haga","100","1,91","+0,53%"
"PPLA11","PPLA","27","0,87","+0,00%"
"BMKS3","Monark","10","418,91","+2,17%"
"RPMG3","Refinaria de Manguinhos","12.500","2,87","+0,00%"
"SNSY5","Sansuy","11.500","3,55","+1,14%"
"DEXP4","Dexxos","5.100","8,30","-1,31%"
"IGTI4","Iguatemi","2.200","9,85","-1,50%"
"IGTI4","Jereissati Participações","2.200","9,85","-1,50%"
"FESA3","Ferbasa","1.600","11,00","-4,60%"
"PTNT3","Pettenati","1.300","9,28","-6,17%"
"MNDL3","Mundial","1.000","17,05","-2,57%"
"MAPT4","Cemepe","500","3,14","-10,29%"
"BALM4","Baumer","400","15,65","-4,57%"
"PINE11","Banco Pine","400","11,82","+24,42%"
"UNIP5","Unipar","300","58,20","-8,35%"
"GEPA3","Rio Paranapanema Energia","300","33,01","+0,00%"
"EKTR4","Elektro","200","48,00","+0,00%"
"CTSA3","Santanense","200","2,99","-1,32%"
"CTSA4","Santanense","200","2,64","-5,04%"
"SOND5","Sondotécnica","100","52,00","-5,11%"
"BMIN4","Banco Mercantil de Investimentos","100","16,53","-0,12%"
"CRPG6","Tronox Pigmentos","100","15,49","+3,27%"
"GSHP3","General Shopping & Outlets","100","4,50","+2,51%"
"CEEB3","COELBA","2.600","37,50","+1,63%"
"HBTS5","Habitasul","200","28,10","+0,14%"
"PLAS3","Plascar","200","5,20","+0,00%"
"BRKM6","Braskem","3.000","7,85","+0,00%"
"SNSY3","Sansuy","600","11,45","+4,09%"
"MRSA5B","MRS Logística","300","24,50","+0,00%"
"DTCY3","Dtcom","300","2,90","+0,00%"
"CGAS3","Comgás","100","124,07","+2,53%"
"CEEB5","COELBA","100","36,80","-1,68%"
"NORD3","Nordon","300","5,70","-1,72%"
"SOND6","Sondotécnica","200","50,01","+0,06%"
"CPLE5","Copel","200","12,00","+1,69%"
"BMIN3","Banco Mercantil de Investimentos","100","22,98","+4,45%"
"CEDO3","Cedro Têxtil","100","21,00","+0,00%"
"CRPG3","Tronox Pigmentos","100","17,99","+0,06%"
"BAUH4","Excelsior","500","86,99","-0,58%"
"MWET4","Wetzel","300","11,99","+2,48%"
"BALM3","Baumer","100","20,50","+0,00%"
"PEAB4","Participações Aliança da Bahia","300","37,00","+1,93%"
"PATI4","Panatlântica","300","34,66","+10,00%"
"EKTR3","Elektro","100","45,00","+5,56%"
"PEAB3","Participações Aliança da Bahia","100","38,00","+0,00%"
"AFLT3","Afluente T","100","7,38","+4,24%"
"TKNO3","Tekno","100","193,95","+7,75%"
"CBEE3","Ampla Energia","100","12,50","-3,85%"
